,City_From,City_To,Price,Date_To,Date_Back,Night,Link
0,Budapest,Paris,EUR: 57,2024-01-23T06:15:00,2024-01-25T08:45:00,2,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2100004965382c_0%7C1cb20b774d230000b793a0ad_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GLkqmv-u4ITb5k-Xe9dNsLvQp6MWV1M99pRcGO_KFTYYcKSCp9S2eldCCR3gITQeA6ig-k5WPe9h9fc4O5UsxMiWNFNTMt1zV27O3MXPc0VuZTfEw7OOjJCXqOdAoTA2uBF_-TguO2k1kzNmppzMQ1J-wMR22u9UjREi4cpyzouPnPCBaCg4LS_OqVEWRgpR66mdojtpRR2hgxRlgRtXQaMus05PZddUfKyowtJthpXV9tNjrT_tP3fSXhdDQBcavFb-eLfdY4-Tuu0XsfuV_DphuuudY1bRvQY8fUl7sFP5bUDYOM_mHgShQwwvtPvFeBRFdcWyfR0KM3xqnVFFzOVVs6N4rOAMiPVnPwZG6Nx1acKldX-3HNloal2SF3TG_I0rmRYkH90BfOkUT4Di1wp1EeZKuQ3-lzUUvrB6s_HJj7m8Md7yAN-EwqNMD_VDaiOk-pvNP0O2cXSRFvDM5kVuk72ptZsqWxjwQMYyUauUWFCxOUrkZjT3Jr4vwKVzzMLaVOz--9QZ-UDou43s_yxeYyHVUjvD2YYUi_RgATKhHkemjH9vIacjhLjv4pnxd
1,Budapest,Paris,EUR: 58,2024-01-31T14:50:00,2024-02-07T17:35:00,7,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d290000136ab627_0%7C1cb20b774d3000003f281047_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=Gmi-czEMeAbVcbtavmWkQ-cfqIc_uhsijobbJg--cU7T67MD9KgB6b0nFzXkOigPJRxY4TfrZ_7JO_8DRTdLNWaEhRf5bsubIEQ0iTGMJ9l4E93_n87CCHnchb7BDh7HtXFgYKP-Sa-ZEfNrYbWE_EDQp4PhWcoVFlhn6LgT9_VLhW53eKXGhZyaCHZ7AT_XOBj6Y7lyhVfZAjX2xVL6H71Znj_vugkzXqGpqxYzoykIvb28bHy7I7Wmta_0Qq20DDjpYq4LW06wCbCde36_OXVH9f2U8ewUt8gr4TGz4OdptLL0AV-z36wTQmIQvj42rzhljGzyKuuAEBUG9Q5bBpdK7nZmjJsaxrZzUL18P2WKup_7TuZ1kaSZ-eBUr4-2VvvKJPwLlJVT1OPbQHwtZxc6zchdXT3rLwIt4hcHjw5EG7fhT5s_2ndhx8u39VaCbelRWqp59KQIZsWiX9L_Gxe23ivKofdlMsL0VB2sRocgA5Pj92SL0cZnp0AprYC-wB0tK04EFsfiMj2dOcyoEjx_ZKj2WRJRbZ-aAPCLH6PSd236EZq3BYqKJsfS0Bqw6
2,Budapest,Paris,EUR: 58,2024-02-01T05:55:00,2024-02-07T17:35:00,6,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2a00005f58ff37_0%7C1cb20b774d3000003f281047_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GfZjzrUyj-JrPaGZgvVw8JMht4FJdoDNuW-o72-zeu5XpRNWg7GQquoVrXmuikfLd7g28yqSRYq5CozHlPM_2zcOCw_MzRCvGxwEKtvXXuJ3r0fSF0nRR7ESaXim82AHGKGcAORRnKTqSwwcg2qINIOBnRTJ46doH2b6JcTMbi8PiU_RjUpXFXEFesjkSH581QKzuQyzk12f9JMnTZlZCmjuJb6v_s-h3dpS_Qapm_k3wLaxl1B1aqsa3ctaCXqsm4YhW-MyZJnq6IklvWdx7CvIFRDu3-tFzCXfdAkCSQOQ7CEA5BVNHHrmXJ-m77Wjp9KzflzCNA9ObG7_0j-bnxVe1ADweuTLHY2fpqSXdXLmt4CD7nguuZCKm5uClPwcB4cUaTmJd5zPkQ52luayqcIIiFE2qKD6vhDg34ctMFIEGpkQwHyu23jfMkQtOJWGsQQl6qYlbYyMb0wl8Il0_oUXkrE9EdxPmlkwjAAraBhTR_Rv5bLv3jTAZcFnF40PCETndga5Mls3w17kXQVp6KuJbDejP--cUSL8QHUzZZKg=
3,Budapest,Paris,EUR: 58,2024-01-18T05:55:00,2024-01-25T08:45:00,7,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d1c00006d94ba3d_0%7C1cb20b774d230000b793a0ad_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GQiY6ZAB8BhHukAtvd8OBnppLhs9LgSsY00MO709ODT6FhEPQQnwLcXkNqpBmhbHKMr0ahc3snThMsmR4NqEmRs4dph8VxA5oqCbiKOfSMYEyrHGh5Jvr0fCmZEc2h8GepBAjUaZIN-0gy4WJf1Ku64ztpdFKEg-9le3eEJmN0E01gPNOIogqaE7YWt8S6NUDuIrxc7S6JZMl1AOO7iKxddFj8Koc9jUFFDX47bTM7S3KztUn3d8GQHwR-S93M7UfccCyfG2-F8A9ZRRqMey9NZ1We8UzdI6dPK0KA6czGyk_IfuOQVsHG0Nc2_mdhda25PDlnEHHYnkyPC5XFLdcVOn0iyOOYLpqFbuBcxpHsinooXaxF6os3WWfpDpfKgVrR6Rl2wcuwNYIbq-SemHWWiOq97H4eMQRjv50oMWwDBmimMnjgsNWTus97WAB2lOnWbSpDkw3C5PNx_N9Ahc8zR1pYLX-3PWSVazpGVrSmrbJhd7u-MQBL_vWxgGTVSjDXnc0Q8JVmtfKXPnLCOsALRkzTz7Md9UOvARK53_Oa3Q=
4,Budapest,Paris,EUR: 59,2024-02-01T05:55:00,2024-02-07T13:05:00,6,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2a00005f58ff37_0%7C0a7c0b774d300000dcc3e60d_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GSmpmp2Fa1MTm-fP-NRdj-J_TezjWJETjLfv4lMBcc9DOMoJhl__7nWlPFoWg59I-6kVNokBZ3WdqaYi59h0Z41BRkOXC5TiFoYtEZFaNX8BLK4W0wqbl-4tA-DjMcTsOZJrewmcMGX0qqgkimJkPfC2PCWHENHGR4Ts8c7Xp0opJqP9rV8GL0T8xxAFbDOQQnV1-Cjkq9BFCPVeRPXSPfNgtQoKbzWECzEqDVpteGBsETAIdsiBpcV1JBDFisPywTTEsOdEBogq84k56Gg1VilZru45mH-AGjZLwkcOrvN_DaCfVEJE3FUQZcCA_Bt7KGeu6fERs_7mnO5AeMhKUBYVvOCqhOxd2_8Y0GMLYDPAuhXAPmNXF05wPZSUAd_WHwjumJy2bPQOTX71awYUPikRr_4vPb382ieqAswjaLMV7Wb77yb85_-oXny2Gc7irgagr0N9lFEDNvMl3SokzLhgiOtTfXJpCT7ZrvMCvuBffUq82u7tEyHh45R-Y4RqmNuSAugEpaVxfE0xNFGCHZG6wzq1oXV5rbWIV1chTeHSdPh2dCOSwKv_UsEkzUJua5ZBncW53oHkW0kCAIkWC7tyt5sad43wXlN7S461LnquR6gmy1b6EltYwcMnJB9YT
5,Budapest,Paris,EUR: 59,2024-01-31T14:50:00,2024-02-07T13:05:00,7,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d290000136ab627_0%7C0a7c0b774d300000dcc3e60d_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GbhXt7vQ5nK8mTbleuF_GGiRQjKrgaVGbpYH1f0o75cgDaG_HrVv4odmAE4qSde4wV8NVmN0vnKI5WrT0QTYZyD_dW_vA-TPdVMzQpk1mf_PuHQKE8Z6eZ_x9SyNpkbSrlJ-BfCwI4H795fbXRFbI8bqbSZK8t5exYS8fsIfgVR7CjYqM_EYxrIkjpoFXK3--S2-nHCwLleg8Vb6ZqECclVoZWRSfpURfbmbRJdE-E8B0sx35q_E2UKRTyqviRRCV1PcNA6VoomiK-hpkOgkuEOKkMN4_anwZE9LW5E5tGxYjV1B3G7Zd7XpAaaZ0NqhJwAmaR9YF8QTIiGnfdNBTQKLWjAzDfpzlXzfrbZU7jA2qFifC48Q8iZhWTRZ71lJVjx-Xsy01uBrBMt8QIB5EzmfrxBRJqyLlW0b1m52RisQMUieKwYlKQY-Hg8v87BfkcelNeXreMJt_OeQ6yviZmwUDc1KOrYEbJ78G0mX2y7TYk92GyrVHjoRSw8fBpQozjCzRHVe4YD9Hj-i7Bi4FqEaEE51ft9DpM_UxZ5HWTiTt8qP09BSyGY1OQxnNnIxsGaT1yTgkekU0mSPGJbVykxs9bQMHq8xD3f8G7d8m9U8=
6,Budapest,Paris,EUR: 59,2024-01-30T06:15:00,2024-02-01T08:45:00,2,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d2800009de8820e_0%7C1cb20b774d2a0000003b3d93_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GsgQPPO7-j-_QT7ORNTRoSoQcv6QWWdz9kxv1TU4UVUJeVQu8F_Zs6H3CXCg8_6FODfL01zD1ErIix6x2p65oL8uFnEEUwCGgs1G7ba0SuIMYHUjotfxg6ifm2TMmUAIoDXGrSFTzc2Q-r7pQhmlVxbv9zdxFEGJTUflJqMgizcTYVPYcW6gLEPJs0PYKymOcrREkmSVQHl7gyEMh1LexDGqHCzVrfFataOsL63z74gUh--NbvbmmPJLHGSyale4pfF-ByCrx5aTOyVNI_2NMrCQmZ1NEioU78bhTpaPgLbkUSx4x9a0a1iZgmU5s1f68xvltVdkDNZF8S-6ZskuVfq04_Sev72r-Ec1FC3PbXynfRbLx-Zc0jwXXN_Fz4hdBYILcOucqNtYqHXCRPRCD0iWrn_OqvTVqCLubbvAY1l1pWoSEHIvan3LwrpS7hhuE2XXdZ5LU9ovTZILOj_7Ids-ZemOUE_fKprj7-Wk7ND6WWh0PU3Hkwq8_JNxKbKbfXpBhaxON5XjiVXX226Csag==
7,Budapest,Paris,EUR: 59,2024-01-21T05:00:00,2024-01-21T17:00:00,3,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b7723334d1f00006e21c920_0%7C23331cb24d1f0000bd98a972_0%7C0a7c0b774d2200007077a65a_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=G7BN7S2K1er34qdbKkzvhTSFPs8OyxS26dOEjjXnux98u_H8KT1B_QFJ1tcF4hTYwKQ7IvT5z_ZYcyNudzRjjMApGUGw3yxFu6Q2IhaxQ0VIJnHm1S1OW5g-F2AKgihyrNe6QajgORDJtpNXgG5RG3agSxLvAfvPXi41_xrMXdfqz-Ur0u86qW4qxIjAOnddX3ctW6gw1U28dkMgsJopgZ_lQMCEfoxzZYi6sH6ZEL3Oxjq-6v-0TldCTm2-IRk-a_s6MXfAszzZXWZAqKDnZBVHrQfGsdMZvxl_h_myh16LwjnobMfiBYklGwRJ3ViGsZYFpzzfFL4E1oX6tQiwQzMmdqMfoDNTm0n4nYXPFCoq_JKtGM8k0cfbJ6w65wbdDqmnrXDb3YPqusAhHG3UNAU4HG_7T92Gx_HKv19CQ70tpyYaL2U9-lr6FD4Glsh4i1bFVLIwDeRw_H5JIknCjYl2PGd7crdy5L34tX7KB0350zGq6-5wGLWfDgmA0ceVHWX7cA7dohslvIlTi7j-VeKqQqD3vtF7PAsOwBu2yvfBCMXTH1l1G8mc69MrJyK_d15cNjhNff8kSiolvsQjxvEw1rka0CBImBrtKiFhyhK8FaT2i9Y0tkDQ5HsKLP4uivGKXFp301alXldB10pGvLliC-OKR0J0Ar4vj4HQIifP-7uBMrU2UO8yGwzrLDVN1
8,Budapest,Paris,EUR: 60,2024-01-18T05:55:00,2024-01-24T13:05:00,6,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d1c00006d94ba3d_0%7C0a7c0b774d2200007077a65a_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=G6gzQGg_mtxfjgw0hVXNU64VGHwDCyxdVi1IYhBJfMZpJTqlb-l5lUOQ6nSwYqbb4uL1SRm7xJCPSPpb5_I23DIzqGhvYSZsH8xNsJVe86af-zZx68JHmOiqybqPkTlWvlR1iyWe7OSKyM6mdhwnbF2vLlsi43UCzbj0B8OE0XuXvXZo5I-rCqRnIKaOV1V8xlLHqMJErHoZ7YfLo-YZf_QPynpo52fudf1idJDsQDNQz0Y1Ry4vGkiHqPNLFDzgjdNHAodMstg5P5VNRu3M_EdTwMEsv6VreRVrTosTNxv_5qYwIKkV1IRAiG5y1yMyJz7hA5KQKpAfaCn3P-JzvocJAMZ6rcHsd2R8H-d6tmKQJBqHniH8vGYEEAr7DYoGtq2H8hJl3wZkSgu402Rqh0AjQoUHwprumkxEG83Kw9FnlihqsWNo22S-ixLqleIQb93YNnFuVD-bYYieuSmyc67M5us2XZe9v9I_lgwyfhsYGP1bWIN0n6qH32B-n4jLbULKLgQEoiP5Ma-zyYbT6klSOXSdTiCj-rPOYIGQ1BMVHq2G-ExEZRNbYUpfrOnkV3uSOToSl2zb2O7AK8FhqYkLtYMisVVR4pDHMvlwuNnU1LZoLL9iwQUFufgFey43W
9,Budapest,Paris,EUR: 60,2024-01-18T05:55:00,2024-01-24T17:35:00,6,https://www.kiwi.com/deep?affilid=istvanpisti&currency=EUR&flightsId=0b771cb24d1c00006d94ba3d_0%7C1cb20b774d220000939c5010_0&from=BUD&lang=en&passengers=1&to=BVA&booking_token=GRJ3k6gO8sjGBkHsorkCZsMeslOqnkp096JwtGbniWNHRbrabUKpx7JBJ9DcbyQvaDgAsHq_skzzTKkEOPOhwTPHSJdJZkB2gnRDwHwJLMWyYAmnEmZ3rHbZNRZn80NdJ3xSHeEH3w0P0bLi202yPcPfy1iuBjYZPc3e0CqRZIzw5nnqixudFQ21eS1mVRM4U9AhUYqf_XCgi-6BYOmjt-Cnri2w6GpF3cUOhKXPffdlFplxSJO4ABB8ycxr8drlAFnrufmfeUUzVYitezZfC_mQWdMGqsk2I-4OVspevc408zfBcnOBMeiRj4VE5edjGd5KwDePmtj68IHIP9XMBXtNOtg41YaxfsH2UMTANX97JJ02xpQdQTX0vsPONln8y-qiaSC8oCQmZdHqw_hmv70ky9YOwi3HHVClF9K5kLixfJ4LpK5zpdGS_tDWn-rlu67fiIY6a8EWO-qUhanDxzVdpWh2gMrl4B8zeNCmIwBRWvg33WwdFxKZpc1H18E9PIyegpGRnmKynD6soFCA_UwqAcJ5oPJG3CYzGqhA1Lds=
